name,rest_type
Drunken Monkey,Beverage Shop
Drunken Monkey,Quick Bites
Ruchi's Corner,Quick Bites
Tandoori Bytes,Casual Dining
SGS Non Veg - Gundu Pulav,Quick Bites
Keventers,Beverage Shop
Keventers,Dessert Parlor
Sree Sagar,Quick Bites
Navi Food Point,Quick Bites
Shawarma Inc,Takeaway
The Cafe Nuts and Bolts,Cafe
AM WOW,Beverage Shop
Lalbagh Grand,Quick Bites
Funjabi Curries,Quick Bites
Eat Repeat,Quick Bites
Salut,Pub
Salut,Casual Dining
Nammura Donne Biriyani,Quick Bites
Lassi Stop,Beverage Shop
Lassi Stop,Quick Bites
Dakshin Kitchen,Quick Bites
Sri Sai Cafe,Quick Bites
Sri Sai 99 Variety Dosa,Quick Bites
Utsav Restaurant,Quick Bites
Crunch and Munch,Quick Bites
Food Geek,Quick Bites
Sri Krishna Aramane,Quick Bites
Great Indian Rolls,Quick Bites
Chats Point,Quick Bites
Food Point,Quick Bites
Swarga Ruchi,Quick Bites
Kolkata King,Quick Bites
Sandwich Mama's And Frozen Monster,Quick Bites
New Rajadhani Spicy,Casual Dining
Big Mishra Pedha,Sweet Shop
VEGeatz,Quick Bites
Foodizo,Quick Bites
Food Springs,Quick Bites
Chung's Chinese Corner,Casual Dining
Eurasia Pasta and Barbeque by Little Italy,Casual Dining
Eurasia Pasta and Barbeque by Little Italy,Bar
Goli Vada Pav No. 1,Quick Bites
Ragoo's,Casual Dining
Pure & Natural,Casual Dining
Maiyas,Quick Bites
Sip n Dine,Casual Dining
Cafe Mondo,Cafe
Jalpaan,Casual Dining
Kataria's Pakwan,Quick Bites
Juicy Momos,Quick Bites
Amande Patisserie,Bakery
Anand Sweets and Savouries,Sweet Shop
Chicken Hunt,Quick Bites
Swadesh Tadka,Casual Dining
Cane-O-La,Quick Bites
New Biryani Mane,Casual Dining
Upahara Darshini,Quick Bites
Karnataka Bhel House,Quick Bites
Sreeraj Lassi Bar,Dessert Parlor
Sreeraj Lassi Bar,Beverage Shop
Juice Junction Food Court,Quick Bites
Bunt's Biriyani Palace,Quick Bites
Chai Point,Beverage Shop
Chai Point,Quick Bites
Janahaar,Quick Bites
Redberrys,Cafe
Utsav,Quick Bites
Meat And Eat,Quick Bites
Snacks Bite,Quick Bites
The Spice Saga,Casual Dining
Dakshin Cafe,Quick Bites
Mr. Parathewala,Takeaway
Mr. Parathewala,Delivery
Kaulige Millet Corner,Quick Bites
Ifruit Ice Cream,Dessert Parlor
Havmor,Dessert Parlor
Grand Food,Quick Bites
Grand Food,Bakery
Dining Hut,Quick Bites
7 Hills Garden Restaurant,Quick Bites
Desi Swaad,Quick Bites
Yummy Momos,Quick Bites
Masale Daan,Delivery
Grow Fit,Takeaway
Grow Fit,Delivery
The House Of Vadapav,Quick Bites
Sandwich Hub,Quick Bites
Udupi Sri Krishna Cafe,Casual Dining
Starlite Bakery & Fastfood,Quick Bites
Veganbreak24x7,Takeaway
Veganbreak24x7,Delivery
Dodda Mane Baaduta,Quick Bites
Swadd Kitchen,Casual Dining
Happy Chopsticks,Quick Bites
Udupi Upachar,Quick Bites
Davanagere Benne Dose Hut,Quick Bites
The Sip Shop,Quick Bites
Jalsa,Casual Dining
Subz,Casual Dining
Cafe Shuffle,Cafe
Mint and Mustard,Casual Dining
Chinese Square,Quick Bites
Hyderabad Express,Quick Bites
Punjabi Raswada,Casual Dining
Vinny's,Casual Dining
Chetty's Corner,Quick Bites
Kapoor's Cafe,Casual Dining
Donne Biryani & Kabab Corner,Quick Bites
Sukh Sagar,Casual Dining
S M V Snacks Corner,Quick Bites
Andhra Ruchulu,Casual Dining
Andhra Ruchulu,Bar
The Samosa Co,Quick Bites
Steaming Mugs,Cafe
San Churro Cafe,Cafe
San Churro Cafe,Casual Dining
Rajathadri Food Fort,Casual Dining
Brew Meister,Microbrewery
Brew Meister,Casual Dining
Mr. Singh Da Dhaba,Quick Bites
Kababs N Biryani,Quick Bites
Ayodhya Upachar,Quick Bites
Biriyani Mane,Quick Bites
Cafe Ajfan,Cafe
Brundhavana Food Point,Quick Bites
SLV Corner Restaurant,Casual Dining
Hotel New Karavali,Quick Bites
The Krishna Grand,Casual Dining
360 Atoms Restaurant And Cafe,Cafe
Roti Ghar,Casual Dining
The Coffee Shack,Cafe
Kettle & Kegs,Delivery
Baisakhi,Casual Dining
Corner House Ice Cream,Dessert Parlor
Poonam Sweets,Sweet Shop
XO Belgian Waffle,Dessert Parlor
Old Mumbai Ice Cream,Dessert Parlor
Cake of the Day,Bakery
Cake of the Day,Dessert Parlor
Amma's Pastries,Dessert Parlor
Kanti Sweets,Sweet Shop
Sugar Rush,Bakery
Polar Bear,Dessert Parlor
San Churro Cafe,Cafe
San Churro Cafe,Casual Dining
Anand Sweets and Savouries,Sweet Shop
Anand Sweets and Savouries,Quick Bites
Ibaco,Dessert Parlor
Kirthi's Biryani,Cafe
The Lassi and Juice Park,Beverage Shop
The Lassi and Juice Park,Dessert Parlor
Stoned Monkey,Dessert Parlor
Parimala Sweets,Sweet Shop
The Big O Bakes,Bakery
Shree Mahalakshmi Sweets,Sweet Shop
Keventers,Beverage Shop
Keventers,Dessert Parlor
Dessert Rose,Dessert Parlor
Thanco's Natural Ice Creams,Dessert Parlor
Corner Stone,Beverage Shop
Corner Stone,Quick Bites
Kaggis,Quick Bites
Cocoa Bakes,Bakery
Floured-Baked With Love,Takeaway
Floured-Baked With Love,Delivery
CAFE NOVA,Cafe
Cakes & Slices,Bakery
Arun Ice Cream,Dessert Parlor
Cake Bite,Bakery
Kwality Wall's Swirl's Happiness Station,Dessert Parlor
Sweet N Swirl,Dessert Parlor
Me And My Cake,Delivery
Sweet Truth,Delivery
Waffle-A-Go Go,Dessert Parlor
Sri Venkateshwara Sweet Meat Stall,Sweet Shop
Sri Venkateshwara Sweet Meat Stall,Quick Bites
Baskin Robbins,Dessert Parlor
Redberrys,Cafe
Amande Patisserie,Bakery
Srinivasa Brahmins Bakery,Bakery
Srinivasa Brahmins Bakery,Quick Bites
Jain Bakes,Bakery
Cake Ghar,Bakery
KC Das - Sweet Spot,Sweet Shop
KC Das - Sweet Spot,Quick Bites
Sugar Stars Co,Bakery
Diabetics Dezire Sugarless Sweets and Bakes,Dessert Parlor
Diabetics Dezire Sugarless Sweets and Bakes,Sweet Shop
Cake Yard,Dessert Parlor
Iceberg Icecreams,Dessert Parlor
A2B Veg - Adyar Ananda Bhavan,Casual Dining
Sri Krishna Sweets,Sweet Shop
Cake Art,Bakery
Cake Art,Quick Bites
Asha Sweets Centre,Dessert Parlor
My Tea House,Casual Dining
The Krishna Grand,Casual Dining
Sea Spice by 7 Star,Casual Dining
Mini Punjabi Dhaba,Quick Bites
Onesta,Casual Dining
Onesta,Cafe
Wamama,Casual Dining
Jalsa,Casual Dining
Vinny's,Casual Dining
Jcubez,Lounge
Gustoes Beer House,Pub
Penthouse Cafe,Cafe
Spice Elephant,Casual Dining
Smacznego,Cafe
Café Down The Alley,Cafe
Cafe Shuffle,Cafe
The Coffee Shack,Cafe
Peppy Peppers,Casual Dining
Anna Kuteera,Casual Dining
