name,cuisines
Curry Leaves,Chinese
Lassi Shop,Beverages
Lassi Shop,Ice Cream
Lassi Shop,Fast Food
Magic Meals,Fast Food
Magic Meals,Desserts
Magic Meals,Beverages
Desi Cream Junction,Chinese
Desi Cream Junction,North Indian
Desi Cream Junction,Pizza
Desi Cream Junction,Italian
Drunken Monkey,Beverages
Drunken Monkey,Fast Food
Ruchi's Corner,Fast Food
Tandoori Bytes,North Indian
SGS Non Veg - Gundu Pulav,Biryani
SGS Non Veg - Gundu Pulav,Fast Food
Keventers,Desserts
Keventers,Beverages
Keventers,Ice Cream
Sree Sagar,South Indian
Navi Food Point,Fast Food
Shawarma Inc,Rolls
Shawarma Inc,Lebanese
The Cafe Nuts and Bolts,Cafe
The Cafe Nuts and Bolts,Fast Food
The Cafe Nuts and Bolts,Chinese
AM WOW,Beverages
Lalbagh Grand,South Indian
Lalbagh Grand,North Indian
Lalbagh Grand,Chinese
Funjabi Curries,North Indian
Eat Repeat,South Indian
Salut,Continental
Salut,Finger Food
Salut,Seafood
Salut,Pizza
Nammura Donne Biriyani,Biryani
Nammura Donne Biriyani,Fast Food
Lassi Stop,Beverages
Lassi Stop,Fast Food
Lassi Stop,Juices
Dakshin Kitchen,South Indian
Sri Sai Cafe,South Indian
Sri Sai 99 Variety Dosa,South Indian
Utsav Restaurant,North Indian
Utsav Restaurant,Chinese
Crunch and Munch,Chinese
Crunch and Munch,Street Food
Crunch and Munch,Ice Cream
Food Geek,Sandwich
Food Geek,Fast Food
Food Geek,Rolls
Sri Krishna Aramane,South Indian
Sri Krishna Aramane,North Indian
Sri Krishna Aramane,Chinese
Sri Krishna Aramane,Fast Food
Great Indian Rolls,Rolls
Chats Point,Fast Food
Chats Point,Street Food
Food Point,North Indian
Food Point,Chinese
Swarga Ruchi,South Indian
Kolkata King,Fast Food
Kolkata King,Rolls
Sandwich Mama's And Frozen Monster,Ice Cream
Sandwich Mama's And Frozen Monster,Beverages
Sandwich Mama's And Frozen Monster,Fast Food
New Rajadhani Spicy,North Indian
Big Mishra Pedha,Mithai
VEGeatz,South Indian
VEGeatz,North Indian
Foodizo,Desserts
Foodizo,Fast Food
Foodizo,Continental
Food Springs,South Indian
Food Springs,Chinese
Chung's Chinese Corner,Chinese
Eurasia Pasta and Barbeque by Little Italy,Italian
Eurasia Pasta and Barbeque by Little Italy,Fast Food
Eurasia Pasta and Barbeque by Little Italy,Salad
Eurasia Pasta and Barbeque by Little Italy,BBQ
Goli Vada Pav No. 1,Street Food
Ragoo's,Italian
Ragoo's,Pizza
Ragoo's,North Indian
Ragoo's,Salad
Pure & Natural,Fast Food
Pure & Natural,Continental
Pure & Natural,Beverages
Pure & Natural,Salad
Pure & Natural,Healthy Food
Maiyas,North Indian
Maiyas,South Indian
Maiyas,Fast Food
Maiyas,Juices
Sip n Dine,North Indian
Sip n Dine,Chinese
Sip n Dine,South Indian
Cafe Mondo,Cafe
Cafe Mondo,Italian
Cafe Mondo,Beverages
Jalpaan,North Indian
Jalpaan,Continental
